Complexity,Loss,Equation
1,780.955,"-23.532038"
4,776.61487,"-23.543339 - sin(x4)"
5,2.3911588,"-3.1902225 - (x5 * x5)"
7,2.3806353,"-3.1155 - (x5 * (x5 * 1.0036784))"
9,2.3232238,"-2.860951 - (((x5 * x5) ^ 0.98559946) * 1.0725421)"
10,2.1166844,"(sin(13.580823 ^ x5) + -3.2329402) - (x5 * x5)"
12,0.71083975,"(sin(x0 - (x1 * -2.0044312)) - (x5 * x5)) + -3.1046488"
14,4.3062086e-12,"((sin((x1 + x1) + x0) * 2.1999996) + -3.000001) - (x5 * x5)"
